Collection Name,Title,Part,Name,Name URI,Resource Type,Resource Type URI,Genre,Genre URI,Place Created,Publisher,Date Issued,Date Created,Edition,Issuance,Frequency,Language Term,Language Term URI,Language Term Type,Extent,Physical Description Note,Form#1,Form URI#1,Form#2,Form URI#2,Abstract,Table of Contents,Note,Note Type,Subject Topic#1,Subject Topic URI#1,Subject Topic#2,Subject Topic URI#2,Subject Topic#3,Subject Topic URI#3,Subject Topic#4,Subject Topic URI#4,Subject Name,Subject Name URI,Subject Geographic,Subject Geographic URI,Subject Temporal,Subject Temporal URI,Subject Title,Subject Title URI,Subject Genre,Subject Genre URI,Identifier,Identifier LUNA,Identifier ARK,Physical Location,Physical Location Type,Shelf Locator,Related Item,Related Item Type,Related Item Identifier,Related Item Location,Date Captured,Internet Media Type,Digital Origin,Access Condition,Access Condition URI
Sturtevant Plates,"Boulder from Cathedral Rock No.46, J.B. Sturtevant.",,"Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,,,,Undated,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"Aerial view of Boulder, Colorado from Cathedral Rock.",,,,Cities and towns,http://id.worldcat.org/fast/861748,Aerial views,http://id.worldcat.org/fast/1423687,Landscapes,http://id.worldcat.org/fast/1735625,,,,,"Boulder (Boulder, Colorado, United States, North America) (populated place)",GNIS: 178680,1886/1910,local,,,,,narv_sturtevant_39_xx001.jpg,,,CU Museum of Natural History,,COU: 1111,,,,,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/
Sturtevant Plates,"Papa's Tumin view of north of Boulder, J.B. Sturtevant",,"Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,,,,Circa 1900,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"A young child stands on a dirt road from 12th Street in Bear Park. First mesa north of town; Four Mile Cañon Road. [Cataloger's note: on envelope; View N. of Boulder, Colorado Joe Sturtevant, From road at top of hill, first Mesa N. of town. 4 mile Canon Road.]",,,,Children,http://id.worldcat.org/fast/854835,Dirt roads,http://id.worldcat.org/fast/1728432,Landscapes,http://id.worldcat.org/fast/1735625,,,,,"Boulder (Boulder, Colorado, United States, North America) (populated place)",GNIS: 178680,1886/1910,local,,,,,narv_sturtevant_39_xx002.jpg,,,CU Museum of Natural History,,COU: 1111,,,,,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/
Sturtevant Plates,"Pearl Street, Boulder, Colo., J.B. Sturtevant",,"Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,,,,Circa 1900,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"Pearl St. Boulder, Colorado looking east from 12th street.",,,,"Stores, Retail",http://id.worldcat.org/fast/1134043,Commercial buildings,http://id.worldcat.org/fast/869373,Horse-drawn vehicles,http://id.worldcat.org/fast/960548,,,,,"Boulder (Boulder, Colorado, United States, North America) (populated place)",GNIS: 178680,1886/1910,local,,,,,narv_sturtevant_39_xx003.jpg,,,CU Museum of Natural History,,COU: 1111,,,,,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/
Sturtevant Plates,"The W. W. Wolf Farm Near Boulder, Colo., J.B. Sturtevant",,"Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,,,,Circa 1900,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"View of the W. W. Wolf Farm in Boulder Valley from Mesa, north of town.",,,,Farms,http://id.worldcat.org/fast/921422,Ranches,http://id.worldcat.org/fast/1089760,Landscapes,http://id.worldcat.org/fast/1735625,,,,,"Boulder (Boulder, Colorado, United States, North America) (populated place)",GNIS: 178680,1886/1910,local,,,,,narv_sturtevant_39_xx004.jpg,,,CU Museum of Natural History,,COU: 1111,,,,,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/
Sturtevant Plates,"Old Central School, Boulder, Colorado about 1900",,"Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,,,,Circa 1900,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"A large group of school children pose for a class photograph outside of the Central School in Boulder, Colorado, about 1900.",,,,School children,http://id.worldcat.org/fast/1107147,Rural schools,http://id.worldcat.org/fast/1101819,Portraits,http://id.worldcat.org/fast/1072324,,,,,"Boulder (Boulder, Colorado, United States, North America) (populated place)",GNIS: 178680,1886/1910,local,,,,,narv_sturtevant_39_xx005.jpg,,,CU Museum of Natural History,,COU: 1111,,,,,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/
Sturtevant Plates,"Boulder, Colo. Looking West, J.B. Sturtevant",,"Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,,,,Circa 1900,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"Landscape view of Boulder, Colorado, looking west from Lover's Hill and toward Boulder Canyon.",,,,Cities and towns,http://id.worldcat.org/fast/861748,Landscapes,http://id.worldcat.org/fast/1735625,Dwellings,http://id.worldcat.org/fast/899978,Neighborhoods,http://id.worldcat.org/fast/1715963,,,"Boulder (Boulder, Colorado, United States, North America) (populated place)",GNIS: 178680,1886/1910,local,,,,,narv_sturtevant_39_xx006.jpg,,,CU Museum of Natural History,,COU: 1111,,,,,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/
Sturtevant Plates,"8th grade Highland School, Boulder, Colorado, J.B. Sturtevant",,"Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,,,,Undated,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"Class photograph of the 8th grade students outside the Highland School in Boulder, Colorado. [Cataloger's note: there are two glass plate negatives plates of xx007. One is a negative image and one is a positive.]",,,,School children,http://id.worldcat.org/fast/1107147,Rural schools,http://id.worldcat.org/fast/1101819,Portraits,http://id.worldcat.org/fast/1072324,,,,,"Boulder (Boulder, Colorado, United States, North America) (populated place)",GNIS: 178680,1886/1910,local,,,,,narv_sturtevant_39_xx007.jpg,,,CU Museum of Natural History,,COU: 1111,,,,,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/
Sturtevant Plates,"Woodbury Hall at Boulder, Colo., J.B. Sturtevant",,"Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,,,,Circa 1900,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,Men stand outside the Woodbury Hall at the University of Colorado Boulder campus.,,,,Dormitories,http://id.worldcat.org/fast/896981,Student housing,http://id.worldcat.org/fast/1135919,Universities and colleges,http://id.worldcat.org/fast/1161597,College buildings,http://id.worldcat.org/fast/867723,,,"University of Colorado Boulder (Boulder, Colorado, United States, North America) (school)",GNIS: 178650,1886/1910,local,,,,,narv_sturtevant_39_xx008.jpg,,,CU Museum of Natural History,,COU: 1111,,,,,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/
Sturtevant Plates,"Bevier Peak, No. 257, Boulder Canon, Colo. J.B. Sturtevant",,"Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,,,,Undated,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,The rock formation Bevier Peak in Boulder Canon. [Cataloger's note: Five [Fine?]. Point Lookout.],,,,Canyons,http://id.worldcat.org/fast/846173,Rock formations,local,Nature,local,,,,,"Boulder (Boulder, Colorado, United States, North America) (populated place)",GNIS: 178680,1886/1910,local,,,,,narv_sturtevant_39_xx010.jpg,,,CU Museum of Natural History,,COU: 1111,,,,,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/
Sturtevant Plates,"Galvert and stage station Near the falls No. 2, J.B. Sturtevant",,"Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,,,,Undated,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"Galverts stage station near Boulder Falls in Boulder Canon. The image depicts loaded wagons pulling up to a building called ""Eureka House.""",,,,Posthouses,http://id.worldcat.org/fast/1073131,Horse-drawn vehicles,http://id.worldcat.org/fast/960548,Stagecoach stations,http://id.worldcat.org/fast/1131337,Travelers,http://id.worldcat.org/fast/1155691,,,"Boulder (Boulder, Colorado, United States, North America) (populated place)",GNIS: 178680,1886/1910,local,,,,,narv_sturtevant_39_xx011.jpg,,,CU Museum of Natural History,,COU: 1111,,,,,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/
